assay_chembl_id	#Compounds
CHEMBL5291828	1804
CHEMBL5291755	943
CHEMBL1909190	871
CHEMBL1794573	661
CHEMBL3301459	400
CHEMBL3301460	400
CHEMBL5737563	333
CHEMBL5732504	322
CHEMBL5732052	321
CHEMBL1827362	234
CHEMBL5291878	230
CHEMBL3888490	220
CHEMBL3883125	184
CHEMBL1676103	177
CHEMBL3803507	160
CHEMBL3705623	155
CHEMBL3880847	142
CHEMBL5732687	137
CHEMBL5733101	126
CHEMBL5737036	125
CHEMBL5735028	125
CHEMBL5733977	116
CHEMBL5291756	116
CHEMBL1614446	114
CHEMBL5734036	114
CHEMBL1027667	113
CHEMBL1034538	111
CHEMBL5732351	108
CHEMBL5733769	108
CHEMBL3887897	107
CHEMBL3705667	106
CHEMBL5731865	102
CHEMBL5739235	99
CHEMBL5730616	99
CHEMBL3855279	94
CHEMBL2384387	90
CHEMBL948183	82
CHEMBL3297246	81
CHEMBL5735005	76
CHEMBL1120719	75
CHEMBL829152	73
CHEMBL3419343	70
CHEMBL1121085	69
CHEMBL5738104	68
CHEMBL954102	66
CHEMBL766814	66
CHEMBL3707612	65
CHEMBL3776609	65
CHEMBL2071936	64
CHEMBL4831396	64
CHEMBL5735025	63
CHEMBL1116382	62
CHEMBL804532	61
CHEMBL4028623	59
CHEMBL3707668	59
CHEMBL5734466	58
CHEMBL5735756	58
CHEMBL3883126	58
CHEMBL3883127	58
CHEMBL4407343	57
CHEMBL5734464	57
CHEMBL2168490	56
CHEMBL3424851	56
CHEMBL3607541	56
CHEMBL1837909	56
CHEMBL4373220	55
CHEMBL2026493	55
CHEMBL827807	55
CHEMBL1107671	54
CHEMBL2168489	54
CHEMBL5215556	54
CHEMBL962309	52
CHEMBL903096	52
CHEMBL819367	52
CHEMBL906593	51
CHEMBL5622379	49
CHEMBL5622380	49
CHEMBL3369074	49
CHEMBL2045992	49
CHEMBL4392494	49
CHEMBL4356657	48
CHEMBL5739240	48
CHEMBL3423653	48
CHEMBL5147695	48
CHEMBL4833086	47
CHEMBL3779605	47
CHEMBL4030012	47
CHEMBL1057876	47
CHEMBL3419515	47
CHEMBL5129939	47
CHEMBL5731674	46
CHEMBL3591513	46
CHEMBL3591514	46
CHEMBL3591515	46
CHEMBL3591516	46
CHEMBL3591517	46
CHEMBL2160723	46
CHEMBL4629714	45
CHEMBL4046487	45
CHEMBL4046488	45
CHEMBL5735953	45
CHEMBL2342727	45
CHEMBL3428449	44
CHEMBL3132256	43
CHEMBL4388237	43
CHEMBL2330781	42
CHEMBL2184747	42
CHEMBL3583383	42
CHEMBL3705543	42
CHEMBL895464	42
CHEMBL4606283	42
CHEMBL4610754	42
CHEMBL2318190	41
CHEMBL3428450	41
CHEMBL1061741	41
CHEMBL2050727	41
CHEMBL927257	41
CHEMBL907268	40
CHEMBL909940	40
CHEMBL4416173	40
CHEMBL3791472	40
CHEMBL5130043	39
CHEMBL5535232	39
CHEMBL914755	39
CHEMBL5738979	39
CHEMBL3790417	39
CHEMBL4313840	39
CHEMBL1062483	39
CHEMBL1788065	39
CHEMBL1924724	39
CHEMBL2013637	39
CHEMBL2033832	39
CHEMBL2038474	38
CHEMBL4433046	38
CHEMBL3096732	37
CHEMBL2399368	37
CHEMBL1023674	37
CHEMBL943039	37
CHEMBL5038061	37
CHEMBL4428884	37
CHEMBL4478172	37
CHEMBL4004505	36
CHEMBL4009751	36
CHEMBL2021104	36
CHEMBL1810388	36
CHEMBL1810945	36
CHEMBL5251558	36
CHEMBL4706924	36
CHEMBL981857	36
CHEMBL931097	36
CHEMBL3855325	35
CHEMBL1831617	35
CHEMBL1799739	35
CHEMBL1259359	35
CHEMBL986351	35
CHEMBL5585462	35
CHEMBL4481758	35
CHEMBL4372228	34
CHEMBL4004503	34
CHEMBL2330875	34
CHEMBL1686107	34
CHEMBL1913542	34
CHEMBL1831618	34
CHEMBL940379	34
CHEMBL948146	34
CHEMBL4021478	33
CHEMBL1663820	33
CHEMBL1059865	33
CHEMBL1044431	33
CHEMBL1261450	33
CHEMBL2443482	33
CHEMBL2149458	33
CHEMBL2149459	33
CHEMBL3370463	33
CHEMBL5148466	33
CHEMBL5167326	33
CHEMBL5335598	32
CHEMBL5323881	32
CHEMBL4843281	32
CHEMBL856827	32
CHEMBL766816	32
CHEMBL660922	32
CHEMBL4153776	32
CHEMBL1063190	32
CHEMBL1056550	32
CHEMBL1118597	31
CHEMBL1225864	31
CHEMBL5365183	31
CHEMBL4671732	31
CHEMBL5738076	31
CHEMBL3372246	31
CHEMBL3057170	31
CHEMBL2071937	31
CHEMBL2072751	31
CHEMBL2072752	31
CHEMBL3227002	31
CHEMBL3390670	30
CHEMBL3118391	30
CHEMBL2444347	30
CHEMBL2426900	30
CHEMBL2148626	30
CHEMBL2160981	30
CHEMBL5260330	30
CHEMBL1954529	30
CHEMBL5622391	30
CHEMBL4734890	30
CHEMBL4843627	30
CHEMBL4339665	30
CHEMBL4627218	30
CHEMBL3803510	30
CHEMBL3615683	30
CHEMBL4195525	30
CHEMBL4221368	29
CHEMBL3743005	29
CHEMBL4236905	29
CHEMBL4236906	29
CHEMBL1924167	29
CHEMBL1839504	29
CHEMBL1106981	29
CHEMBL1106982	29
CHEMBL1100152	29
CHEMBL1045843	29
CHEMBL3391260	29
CHEMBL3047878	29
CHEMBL5581350	29
CHEMBL4676425	29
CHEMBL4614017	29
CHEMBL4689681	29
CHEMBL4820317	29
CHEMBL948900	29
CHEMBL2327304	28
CHEMBL2216324	28
CHEMBL4054845	28
CHEMBL4196392	28
CHEMBL3790041	28
CHEMBL3768210	28
CHEMBL1838313	28
CHEMBL1647979	28
CHEMBL2013639	28
CHEMBL1025527	28
CHEMBL1107888	28
CHEMBL1248651	28
CHEMBL853924	28
CHEMBL906594	28
CHEMBL947435	28
CHEMBL4706357	28
CHEMBL4354224	27
CHEMBL4675511	27
CHEMBL4675513	27
CHEMBL4809364	27
CHEMBL4431791	27
CHEMBL3636866	27
CHEMBL3706049	27
CHEMBL4312823	27
CHEMBL4058412	27
CHEMBL4037910	27
CHEMBL3825087	27
CHEMBL5735869	27
CHEMBL5738581	27
CHEMBL2411831	27
CHEMBL2182706	27
CHEMBL2210904	27
CHEMBL2166761	27
CHEMBL3119345	27
CHEMBL5365151	27
CHEMBL5238147	27
CHEMBL1042327	27
CHEMBL1042690	27
CHEMBL1260557	27
CHEMBL1799748	27
CHEMBL1115186	27
CHEMBL1115187	27
CHEMBL1116908	27
CHEMBL1121077	27
CHEMBL869839	27
CHEMBL863591	27
CHEMBL768687	26
CHEMBL5732169	26
CHEMBL4813111	26
CHEMBL4825323	26
CHEMBL5048865	26
CHEMBL5033455	26
CHEMBL3797009	26
CHEMBL4195808	26
CHEMBL4037438	26
CHEMBL4040124	26
CHEMBL1021966	26
CHEMBL1036929	26
CHEMBL1033089	26
CHEMBL1053229	26
CHEMBL1275133	26
CHEMBL1291783	26
CHEMBL2032798	26
CHEMBL1772211	26
CHEMBL1105740	26
CHEMBL2411830	26
CHEMBL5370215	26
CHEMBL5360427	26
CHEMBL5163410	25
CHEMBL4333772	25
CHEMBL4822453	25
CHEMBL954296	25
CHEMBL944827	25
CHEMBL5732259	25
CHEMBL5617770	25
CHEMBL2320519	25
CHEMBL3226991	25
CHEMBL3227234	25
CHEMBL2215146	25
CHEMBL3762972	25
CHEMBL3811490	25
CHEMBL4310495	25
CHEMBL4183120	25
CHEMBL1112305	25
CHEMBL1045845	25
CHEMBL1054533	25
CHEMBL1054534	25
CHEMBL1036922	25
CHEMBL1036923	25
CHEMBL1036924	25
CHEMBL1036925	25
CHEMBL1036926	25
CHEMBL1036927	25
CHEMBL1036928	25
CHEMBL1671552	25
CHEMBL1648563	25
CHEMBL2024805	25
CHEMBL2014817	24
CHEMBL2060137	24
CHEMBL1954401	24
CHEMBL1174018	24
CHEMBL1174019	24
CHEMBL1051701	24
CHEMBL1051709	24
CHEMBL1053972	24
CHEMBL1055806	24
CHEMBL1924405	24
CHEMBL886338	24
CHEMBL5381577	24
CHEMBL5347182	24
CHEMBL3868329	24
CHEMBL4021976	24
CHEMBL768699	24
CHEMBL3294033	24
CHEMBL2186062	24
CHEMBL2328742	24
CHEMBL3270057	24
CHEMBL3296720	23
CHEMBL2396015	23
CHEMBL2382572	23
CHEMBL2216323	23
CHEMBL3056066	23
CHEMBL3047075	23
CHEMBL2091536	23
CHEMBL5373257	23
CHEMBL5373258	23
CHEMBL1120514	23
CHEMBL1110020	23
CHEMBL2026860	23
CHEMBL1670069	23
CHEMBL1068017	23
CHEMBL1047320	23
CHEMBL1048874	23
CHEMBL1273916	23
CHEMBL1273917	23
CHEMBL841101	23
CHEMBL865039	23
CHEMBL886667	23
CHEMBL984535	23
CHEMBL5731263	23
CHEMBL5736066	23
CHEMBL682905	23
CHEMBL4376105	23
CHEMBL4825561	23
CHEMBL4012201	23
CHEMBL3888930	23
CHEMBL3755637	23
CHEMBL4157558	22
CHEMBL3869650	22
CHEMBL4004312	22
CHEMBL4057949	22
CHEMBL3611641	22
CHEMBL3602726	22
CHEMBL4251894	22
CHEMBL1275178	22
CHEMBL1786160	22
CHEMBL1071416	22
CHEMBL1024606	22
CHEMBL1024607	22
CHEMBL1020710	22
CHEMBL1020711	22
CHEMBL1764797	22
CHEMBL2186472	22
CHEMBL3119938	22
