year	document_chembl_id
1994.0	CHEMBL1159134
1997.0	CHEMBL1130547
1999.0	CHEMBL1132000
2001.0	CHEMBL1134151
2002.0	CHEMBL1135170
2003.0	CHEMBL1136402
2003.0	CHEMBL1136167
2004.0	CHEMBL1146708
2004.0	CHEMBL1137936
2004.0	CHEMBL1147446
2004.0	CHEMBL1147603
1987.0	CHEMBL1123712
1987.0	CHEMBL1123720
1988.0	CHEMBL1124014
1990.0	CHEMBL1125160
1990.0	CHEMBL1124881
1993.0	CHEMBL1126878
1993.0	CHEMBL1126913
1993.0	CHEMBL1127038
1995.0	CHEMBL1128711
1995.0	CHEMBL1128716
1995.0	CHEMBL1128729
1995.0	CHEMBL1128175
1996.0	CHEMBL1129670
1997.0	CHEMBL1130298
1999.0	CHEMBL1132339
2000.0	CHEMBL1133009
2001.0	CHEMBL1134475
2001.0	CHEMBL1134478
2001.0	CHEMBL1134579
2001.0	CHEMBL1134672
2001.0	CHEMBL1134676
2001.0	CHEMBL1134342
2002.0	CHEMBL1135455
2002.0	CHEMBL1135758
2002.0	CHEMBL1135811
2003.0	CHEMBL1145042
2003.0	CHEMBL1145790
2003.0	CHEMBL1145963
2004.0	CHEMBL1149193
2004.0	CHEMBL1149147
2004.0	CHEMBL1137856
2004.0	CHEMBL1137046
2004.0	CHEMBL1138017
2004.0	CHEMBL1138723
2005.0	CHEMBL1139555
2005.0	CHEMBL1139598
2005.0	CHEMBL1140272
2005.0	CHEMBL1142766
2005.0	CHEMBL1144337
2005.0	CHEMBL1142003
2005.0	CHEMBL1142050
2005.0	CHEMBL1143543
2005.0	CHEMBL1144373
2005.0	CHEMBL1142718
2005.0	CHEMBL1142854
2005.0	CHEMBL1141081
2005.0	CHEMBL1140425
2006.0	CHEMBL1148600
2006.0	CHEMBL1149372
2006.0	CHEMBL1149413
2006.0	CHEMBL1138143
2006.0	CHEMBL1138163
2006.0	CHEMBL1138170
2006.0	CHEMBL1138981
2006.0	CHEMBL1138985
2006.0	CHEMBL1139653
2006.0	CHEMBL1139656
2006.0	CHEMBL1146078
2006.0	CHEMBL1146106
2006.0	CHEMBL1146123
2006.0	CHEMBL1146124
2006.0	CHEMBL1146943
2006.0	CHEMBL1146974
2006.0	CHEMBL1147650
2006.0	CHEMBL1147687
2006.0	CHEMBL1147799
2006.0	CHEMBL1147801
2006.0	CHEMBL1147831
2006.0	CHEMBL1148517
2006.0	CHEMBL1148642
2006.0	CHEMBL1148661
2006.0	CHEMBL1138045
2006.0	CHEMBL1138058
2006.0	CHEMBL1138061
2006.0	CHEMBL1138064
2006.0	CHEMBL1138893
2006.0	CHEMBL1138974
2006.0	CHEMBL1145304
2006.0	CHEMBL1145308
2006.0	CHEMBL1145312
2006.0	CHEMBL1146021
2006.0	CHEMBL1146045
2006.0	CHEMBL1146860
2006.0	CHEMBL1148680
2006.0	CHEMBL1149519
2006.0	CHEMBL1137327
2006.0	CHEMBL1137352
2006.0	CHEMBL1137354
2006.0	CHEMBL1137403
2006.0	CHEMBL1138877
2006.0	CHEMBL1138879
