assay_chembl_id	assay_description	assay_type	confidence_score	confidence_desc	src_id	bao_format	target_chembl_id	target_name	target_type	organism	tax_id
CHEMBL656375	K+ channel blocking activity in COS-7 African green monkey kidney derived cells expressing HERG Kv11.1	F	8	Homologous single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL656604	K+ channel blocking activity in COS-7 African green monkey kidney derived cells expressing HERG Kv11.1	F	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL662305	K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1	F	8	Homologous single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL875385	K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1	F	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL662311	K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1	F	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL682313	Binding affinity towards human ERG potassium ion channel was determined	B	8	Homologous single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL682905	In vitro inhibition of MK-499 binding to hERG in HEK293 cells	B	8	Homologous single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL684971	Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes	F	8	Homologous single protein target assigned	1	BAO_0000019	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL687333	Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes	F	8	Homologous single protein target assigned	1	BAO_0000019	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL686879	Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.	F	8	Homologous single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
